Model,Readout Train Data,Readout Test Data,Train Accuracy,Test Accuracy,Readout Type,Predicted Prob_false,Predicted Prob_true,Predicted Outcome,Actual Outcome,Stimulus Name,Encoder Type,Dynamics Type,Encoder Pre-training Task,Encoder Pre-training Dataset,Encoder Pre-training Seed,Encoder Training Task,Encoder Training Dataset,Encoder Training Seed,Dynamics Training Task,Dynamics Training Dataset,Dynamics Training Seed
CSWM,linking,linking,0.7105263157894737,0.587378640776699,A,0.17166188758677847,0.8283381124132215,1,0,pilot_linking_nl1-5_aNone_bCube_occ0_dis0_boxroom-familiarization-redyellow_0000,CSWM encoder,CSWM dynamics,null,null,null,Contrastive,no_linking,0,Contrastive,no_linking,0
CSWM,linking,linking,0.7105263157894737,0.587378640776699,A,0.11941456780806226,0.8805854321919377,1,0,pilot_linking_nl1-5_aNone_bCube_occ0_dis0_boxroom-familiarization-redyellow_0001,CSWM encoder,CSWM dynamics,null,null,null,Contrastive,no_linking,0,Contrastive,no_linking,0
CSWM,linking,linking,0.7105263157894737,0.587378640776699,A,0.10714216680243505,0.892857833197565,1,1,pilot_linking_nl1-5_aNone_bCube_occ0_dis0_boxroom-familiarization-redyellow_0002,CSWM encoder,CSWM dynamics,null,null,null,Contrastive,no_linking,0,Contrastive,no_linking,0
CSWM,linking,linking,0.7105263157894737,0.587378640776699,A,0.21506330372975435,0.7849366962702456,1,0,pilot_linking_nl1-5_aNone_bCube_occ0_dis0_boxroom-familiarization-redyellow_0003,CSWM encoder,CSWM dynamics,null,null,null,Contrastive,no_linking,0,Contrastive,no_linking,0
CSWM,linking,linking,0.7105263157894737,0.587378640776699,A,0.2053894387405505,0.7946105612594495,1,1,pilot_linking_nl1-5_aNone_bCube_occ0_dis0_boxroom-familiarization-redyellow_0004,CSWM encoder,CSWM dynamics,null,null,null,Contrastive,no_linking,0,Contrastive,no_linking,0
CSWM,linking,linking,0.7105263157894737,0.587378640776699,A,0.3185667904801238,0.6814332095198762,1,0,pilot_linking_nl1-5_aNone_bCube_occ0_dis0_boxroom-familiarization-redyellow_0005,CSWM encoder,CSWM dynamics,null,null,null,Contrastive,no_linking,0,Contrastive,no_linking,0
CSWM,linking,linking,0.7105263157894737,0.587378640776699,A,0.14017123702834666,0.8598287629716533,1,0,pilot_linking_nl1-5_aNone_bCube_occ0_dis0_boxroom-familiarization-redyellow_0006,CSWM encoder,CSWM dynamics,null,null,null,Contrastive,no_linking,0,Contrastive,no_linking,0
CSWM,linking,linking,0.7105263157894737,0.587378640776699,A,0.11519894916629969,0.8848010508337003,1,0,pilot_linking_nl1-5_aNone_bCube_occ0_dis0_boxroom-familiarization-redyellow_0007,CSWM encoder,CSWM dynamics,null,null,null,Contrastive,no_linking,0,Contrastive,no_linking,0
CSWM,linking,linking,0.7105263157894737,0.587378640776699,A,0.1335246099349654,0.8664753900650346,1,1,pilot_linking_nl1-5_aNone_bCube_occ0_dis0_boxroom-familiarization-redyellow_0008,CSWM encoder,CSWM dynamics,null,null,null,Contrastive,no_linking,0,Contrastive,no_linking,0
CSWM,linking,linking,0.7105263157894737,0.587378640776699,A,0.08459174840992911,0.9154082515900709,1,0,pilot_linking_nl1-5_aNone_bCube_occ0_dis0_boxroom-familiarization-redyellow_0009,CSWM encoder,CSWM dynamics,null,null,null,Contrastive,no_linking,0,Contrastive,no_linking,0
CSWM,linking,linking,0.7105263157894737,0.587378640776699,A,0.11728575677378505,0.882714243226215,1,1,pilot_linking_nl1-5_aNone_bCube_occ0_dis0_boxroom-familiarization-redyellow_0010,CSWM encoder,CSWM dynamics,null,null,null,Contrastive,no_linking,0,Contrastive,no_linking,0
CSWM,linking,linking,0.7105263157894737,0.587378640776699,A,0.33511256657388044,0.6648874334261196,1,1,pilot_linking_nl1-5_aNone_bCube_occ0_dis0_boxroom-familiarization-redyellow_0011,CSWM encoder,CSWM dynamics,null,null,null,Contrastive,no_linking,0,Contrastive,no_linking,0
CSWM,linking,linking,0.7105263157894737,0.587378640776699,A,0.07707839070577338,0.9229216092942266,1,1,pilot_linking_nl1-5_aNone_bCube_occ0_dis0_boxroom-familiarization-redyellow_0012,CSWM encoder,CSWM dynamics,null,null,null,Contrastive,no_linking,0,Contrastive,no_linking,0
CSWM,linking,linking,0.7105263157894737,0.587378640776699,A,0.061052639246047646,0.9389473607539524,1,0,pilot_linking_nl1-5_aNone_bCube_occ0_dis0_boxroom-familiarization-redyellow_0013,CSWM encoder,CSWM dynamics,null,null,null,Contrastive,no_linking,0,Contrastive,no_linking,0
CSWM,linking,linking,0.7105263157894737,0.587378640776699,A,0.21986221474064227,0.7801377852593577,1,1,pilot_linking_nl1-5_aNone_bCube_occ0_dis0_boxroom-familiarization-redyellow_0014,CSWM encoder,CSWM dynamics,null,null,null,Contrastive,no_linking,0,Contrastive,no_linking,0
CSWM,linking,linking,0.7105263157894737,0.587378640776699,A,0.13555822873337586,0.8644417712666241,1,1,pilot_linking_nl1-5_aNone_bCube_occ0_dis0_boxroom-familiarization-redyellow_0015,CSWM encoder,CSWM dynamics,null,null,null,Contrastive,no_linking,0,Contrastive,no_linking,0
CSWM,linking,linking,0.7105263157894737,0.587378640776699,A,0.08883452106474343,0.9111654789352566,1,0,pilot_linking_nl1-5_aNone_bCube_occ0_dis0_boxroom-familiarization-redyellow_0016,CSWM encoder,CSWM dynamics,null,null,null,Contrastive,no_linking,0,Contrastive,no_linking,0
CSWM,linking,linking,0.7105263157894737,0.587378640776699,A,0.0805858953490024,0.9194141046509976,1,1,pilot_linking_nl1-5_aNone_bCube_occ0_dis0_boxroom-familiarization-redyellow_0017,CSWM encoder,CSWM dynamics,null,null,null,Contrastive,no_linking,0,Contrastive,no_linking,0
CSWM,linking,linking,0.7105263157894737,0.587378640776699,A,0.06576422235862589,0.9342357776413741,1,0,pilot_linking_nl1-5_aNone_bCube_occ0_dis0_boxroom-familiarization-redyellow_0018,CSWM encoder,CSWM dynamics,null,null,null,Contrastive,no_linking,0,Contrastive,no_linking,0
CSWM,linking,linking,0.7105263157894737,0.587378640776699,A,0.16621329391573714,0.8337867060842629,1,0,pilot_linking_nl1-5_aNone_bCube_occ0_dis0_boxroom-familiarization-redyellow_0019,CSWM encoder,CSWM dynamics,null,null,null,Contrastive,no_linking,0,Contrastive,no_linking,0
CSWM,linking,linking,0.7105263157894737,0.587378640776699,A,0.902008194110746,0.09799180588925405,0,0,pilot_linking_nl1-5_aNone_bCube_occ1_dis1_tdwroom-redyellow_0000,CSWM encoder,CSWM dynamics,null,null,null,Contrastive,no_linking,0,Contrastive,no_linking,0
CSWM,linking,linking,0.7105263157894737,0.587378640776699,A,0.8523079831655829,0.14769201683441716,0,0,pilot_linking_nl1-5_aNone_bCube_occ1_dis1_tdwroom-redyellow_0001,CSWM encoder,CSWM dynamics,null,null,null,Contrastive,no_linking,0,Contrastive,no_linking,0
CSWM,linking,linking,0.7105263157894737,0.587378640776699,A,0.9493403627690257,0.05065963723097428,0,1,pilot_linking_nl1-5_aNone_bCube_occ1_dis1_tdwroom-redyellow_0002,CSWM encoder,CSWM dynamics,null,null,null,Contrastive,no_linking,0,Contrastive,no_linking,0
