Actual Outcome,Stimulus Name
0,pilot_linking_nl1-5_aNone_bCube_occ0_dis0_boxroom-familiarization-redyellow_0000
0,pilot_linking_nl1-5_aNone_bCube_occ0_dis0_boxroom-familiarization-redyellow_0001
1,pilot_linking_nl1-5_aNone_bCube_occ0_dis0_boxroom-familiarization-redyellow_0002
0,pilot_linking_nl1-5_aNone_bCube_occ0_dis0_boxroom-familiarization-redyellow_0003
1,pilot_linking_nl1-5_aNone_bCube_occ0_dis0_boxroom-familiarization-redyellow_0004
0,pilot_linking_nl1-5_aNone_bCube_occ0_dis0_boxroom-familiarization-redyellow_0005
0,pilot_linking_nl1-5_aNone_bCube_occ0_dis0_boxroom-familiarization-redyellow_0006
0,pilot_linking_nl1-5_aNone_bCube_occ0_dis0_boxroom-familiarization-redyellow_0007
1,pilot_linking_nl1-5_aNone_bCube_occ0_dis0_boxroom-familiarization-redyellow_0008
0,pilot_linking_nl1-5_aNone_bCube_occ0_dis0_boxroom-familiarization-redyellow_0009
1,pilot_linking_nl1-5_aNone_bCube_occ0_dis0_boxroom-familiarization-redyellow_0010
1,pilot_linking_nl1-5_aNone_bCube_occ0_dis0_boxroom-familiarization-redyellow_0011
1,pilot_linking_nl1-5_aNone_bCube_occ0_dis0_boxroom-familiarization-redyellow_0012
0,pilot_linking_nl1-5_aNone_bCube_occ0_dis0_boxroom-familiarization-redyellow_0013
1,pilot_linking_nl1-5_aNone_bCube_occ0_dis0_boxroom-familiarization-redyellow_0014
1,pilot_linking_nl1-5_aNone_bCube_occ0_dis0_boxroom-familiarization-redyellow_0015
0,pilot_linking_nl1-5_aNone_bCube_occ0_dis0_boxroom-familiarization-redyellow_0016
1,pilot_linking_nl1-5_aNone_bCube_occ0_dis0_boxroom-familiarization-redyellow_0017
0,pilot_linking_nl1-5_aNone_bCube_occ0_dis0_boxroom-familiarization-redyellow_0018
0,pilot_linking_nl1-5_aNone_bCube_occ0_dis0_boxroom-familiarization-redyellow_0019
0,pilot_linking_nl1-5_aNone_bCube_occ1_dis1_tdwroom-redyellow_0000
0,pilot_linking_nl1-5_aNone_bCube_occ1_dis1_tdwroom-redyellow_0001
1,pilot_linking_nl1-5_aNone_bCube_occ1_dis1_tdwroom-redyellow_0002
0,pilot_linking_nl1-5_aNone_bCube_occ1_dis1_tdwroom-redyellow_0003
0,pilot_linking_nl1-5_aNone_bCube_occ1_dis1_tdwroom-redyellow_0004
0,pilot_linking_nl1-5_aNone_bCube_occ1_dis1_tdwroom-redyellow_0005
0,pilot_linking_nl1-5_aNone_bCube_occ1_dis1_tdwroom-redyellow_0006
1,pilot_linking_nl1-5_aNone_bCube_occ1_dis1_tdwroom-redyellow_0007
0,pilot_linking_nl1-5_aNone_bCube_occ1_dis1_tdwroom-redyellow_0008
0,pilot_linking_nl1-5_aNone_bCube_occ1_dis1_tdwroom-redyellow_0009
1,pilot_linking_nl1-5_aNone_bCube_occ1_dis1_tdwroom-redyellow_0010
0,pilot_linking_nl1-5_aNone_bCube_occ1_dis1_tdwroom-redyellow_0011
0,pilot_linking_nl1-5_aNone_bCube_occ1_dis1_tdwroom-redyellow_0012
0,pilot_linking_nl1-5_aNone_bCube_occ1_dis1_tdwroom-redyellow_0013
0,pilot_linking_nl1-5_aNone_bCube_occ1_dis1_tdwroom-redyellow_0014
0,pilot_linking_nl1-5_aNone_bCube_occ1_dis1_tdwroom-redyellow_0015
1,pilot_linking_nl1-5_aNone_bCube_occ1_dis1_tdwroom-redyellow_0016
0,pilot_linking_nl1-5_aNone_bCube_occ1_dis1_tdwroom-redyellow_0017
0,pilot_linking_nl1-5_aNone_bCube_occ1_dis1_tdwroom-redyellow_0018
0,pilot_linking_nl1-5_aNone_bCube_occ1_dis1_tdwroom-redyellow_0019
0,pilot_linking_nl1-5_aNone_bCube_occ1_dis1_tdwroom-redyellow_0020
1,pilot_linking_nl1-5_aNone_bCube_occ1_dis1_tdwroom-redyellow_0021
0,pilot_linking_nl1-5_aNone_bCube_occ1_dis1_tdwroom-redyellow_0022
0,pilot_linking_nl1-5_aNone_bCube_occ1_dis1_tdwroom-redyellow_0023
0,pilot_linking_nl1-5_aNone_bCube_occ1_dis1_tdwroom-redyellow_0024
0,pilot_linking_nl1-6_ms03-7_aCylcap_bCyl_tdwroom-redyellow_0000
1,pilot_linking_nl1-6_ms03-7_aCylcap_bCyl_tdwroom-redyellow_0001
1,pilot_linking_nl1-6_ms03-7_aCylcap_bCyl_tdwroom-redyellow_0002
1,pilot_linking_nl1-6_ms03-7_aCylcap_bCyl_tdwroom-redyellow_0003
1,pilot_linking_nl1-6_ms03-7_aCylcap_bCyl_tdwroom-redyellow_0004
1,pilot_linking_nl1-6_ms03-7_aCylcap_bCyl_tdwroom-redyellow_0005
0,pilot_linking_nl1-6_ms03-7_aCylcap_bCyl_tdwroom-redyellow_0006
0,pilot_linking_nl1-6_ms03-7_aCylcap_bCyl_tdwroom-redyellow_0007
0,pilot_linking_nl1-6_ms03-7_aCylcap_bCyl_tdwroom-redyellow_0008
1,pilot_linking_nl1-6_ms03-7_aCylcap_bCyl_tdwroom-redyellow_0009
1,pilot_linking_nl1-6_ms03-7_aCylcap_bCyl_tdwroom-redyellow_0010
1,pilot_linking_nl1-6_ms03-7_aCylcap_bCyl_tdwroom-redyellow_0011
0,pilot_linking_nl1-6_ms03-7_aCylcap_bCyl_tdwroom-redyellow_0012
1,pilot_linking_nl1-6_ms03-7_aCylcap_bCyl_tdwroom-redyellow_0013
