Scene_Type,Success_Case,Predictions,Most_Common_Prediction,Consistency_Ratio,Original_Correct_Index
Roll,True_pilot_it2_rollingSliding_simple_collision_tdw_2_dis_2_occ-redyellow_0004_img.png,"[3, 4, 3, 2]",3,50.00%,4
Roll,True_pilot_it2_rollingSliding_simple_ramp_tdw_1_dis_1_occ-redyellow_0012_img.png,"[4, 2, 4, 4]",4,75.00%,4
Roll,True_pilot_it2_rollingSliding_simple_collision_tdw_1_dis_1_occ-redyellow_0007_img.png,"[2, 1, 2, 1]",1,50.00%,4
Roll,True_pilot_it2_rollingSliding_simple_collision_box_1_dis_1_occ-redyellow_0008_img.png,"[3, 3, 4, 3]",3,75.00%,4
Roll,True_pilot_it2_rollingSliding_simple_collision_tdw_1_dis_1_occ-redyellow_0000_img.png,"[3, 1, 4, 4]",4,50.00%,4
Roll,True_pilot_it2_rollingSliding_simple_collision_box-redyellow_0000_img.png,"[3, 3, 3, 3]",3,100.00%,4
Roll,True_pilot_it2_rollingSliding_simple_ledge_box_1_dis_1_occ-redyellow_0005_img.png,"[4, 4, 1, 1]",1,50.00%,4
Roll,True_pilot_it2_rollingSliding_simple_ramp_box_1_dis_1_occ-redyellow_0005_img.png,"[4, 4, 2, 2]",2,50.00%,4
Roll,True_pilot_it2_rollingSliding_simple_ramp_tdw_1_dis_1_occ-redyellow_0000_img.png,"[2, 4, 4, 3]",4,50.00%,4
Roll,True_pilot_it2_rollingSliding_simple_collision_box_2_dis_2_occ-redyellow_0003_img.png,"[2, 2, 1, 4]",2,50.00%,4
Roll,True_pilot_it2_rollingSliding_simple_collision_box_1_dis_1_occ-redyellow_0007_img.png,"[4, 2, 4, 4]",4,75.00%,4
Roll,True_pilot_it2_rollingSliding_simple_collision_box_2_dis_2_occ-redyellow_0012_img.png,"[1, 3, 3, 3]",3,75.00%,4
Roll,True_pilot_it2_rollingSliding_simple_collision_tdw_2_dis_2_occ-redyellow_0008_img.png,"[4, 4, 3, 3]",3,50.00%,4
Roll,True_pilot_it2_rollingSliding_simple_ramp_box_1_dis_1_occ-redyellow_0002_img.png,"[3, 2, 3, 1]",3,50.00%,4
Roll,True_pilot_it2_rollingSliding_simple_ramp_tdw_1_dis_1_occ-redyellow_0011_img.png,"[4, 4, 4, 1]",4,75.00%,4
Roll,True_pilot_it2_rollingSliding_simple_collision_tdw_2_dis_2_occ-redyellow_0009_img.png,"[1, 4, 3, 1]",1,50.00%,4
Roll,True_pilot_it2_rollingSliding_simple_collision_box_2_dis_2_occ-redyellow_0002_img.png,"[2, 4, 2, 4]",2,50.00%,4
Roll,True_pilot_it2_rollingSliding_simple_ramp_box_1_dis_1_occ-redyellow_0007_img.png,"[4, 3, 4, 3]",3,50.00%,4
Roll,True_pilot_it2_rollingSliding_simple_collision_box-redyellow_0003_img.png,"[3, 3, 3, 3]",3,100.00%,4
Roll,True_pilot_it2_rollingSliding_simple_ramp_tdw_1_dis_1_occ-redyellow_0004_img.png,"[3, 2, 4, 4]",4,50.00%,4
Roll,True_pilot_it2_rollingSliding_simple_ramp_tdw_1_dis_1_occ-redyellow_0005_img.png,"[4, 4, 2, 1]",4,50.00%,4
Roll,True_pilot_it2_rollingSliding_simple_collision_box_1_dis_1_occ-redyellow_0002_img.png,"[3, 3, 4, 1]",3,50.00%,4
Roll,True_pilot_it2_rollingSliding_simple_ramp_box_1_dis_1_occ-redyellow_0010_img.png,"[2, 4, 1, 4]",4,50.00%,4
Roll,True_pilot_it2_rollingSliding_simple_collision_tdw_1_dis_1_occ-redyellow_0005_img.png,"[2, 3, 4, 2]",2,50.00%,4
Roll,True_pilot_it2_rollingSliding_simple_ramp_box_2_dis_2_occ-redyellow_0008_img.png,"[1, 1, 2, 1]",1,75.00%,4
Roll,True_pilot_it2_rollingSliding_simple_collision_box_1_dis_1_occ-redyellow_0011_img.png,"[4, 2, 1, 4]",4,50.00%,4
Roll,True_pilot_it2_rollingSliding_simple_collision_box_1_dis_1_occ-redyellow_0009_img.png,"[4, 3, 2, 4]",4,50.00%,4
Roll,True_pilot_it2_rollingSliding_simple_collision_box-redyellow_0009_img.png,"[4, 4, 4, 3]",4,75.00%,4
Roll,True_pilot_it2_rollingSliding_simple_ramp_box_2_dis_2_occ-redyellow_0005_img.png,"[4, 4, 3, 4]",4,75.00%,4
Roll,True_pilot_it2_rollingSliding_simple_collision_box_2_dis_2_occ-redyellow_0009_img.png,"[3, 3, 3, 3]",3,100.00%,4
Roll,True_pilot_it2_rollingSliding_simple_ramp_tdw_1_dis_1_occ-redyellow_0002_img.png,"[4, 2, 1, 4]",4,50.00%,4
Roll,True_pilot_it2_rollingSliding_simple_ramp_box_2_dis_2_occ-redyellow_0012_img.png,"[3, 1, 4, 2]",1,25.00%,4
Roll,True_pilot_it2_rollingSliding_simple_collision_box-redyellow_0012_img.png,"[4, 3, 4, 1]",4,50.00%,4
Roll,True_pilot_it2_rollingSliding_simple_ramp_box_1_dis_1_occ-redyellow_0009_img.png,"[1, 1, 3, 3]",1,50.00%,4
Roll,True_pilot_it2_rollingSliding_simple_collision_box_2_dis_2_occ-redyellow_0006_img.png,"[1, 4, 2, 1]",1,50.00%,4
Roll,True_pilot_it2_rollingSliding_simple_ramp_box_2_dis_2_occ-redyellow_0007_img.png,"[1, 1, 1, 1]",1,100.00%,4
Roll,True_pilot_it2_rollingSliding_simple_collision_box-redyellow_0004_img.png,"[4, 4, 4, 4]",4,100.00%,4
Roll,True_pilot_it2_rollingSliding_simple_ramp_box_2_dis_2_occ-redyellow_0011_img.png,"[2, 3, 3, 2]",2,50.00%,4
Roll,True_pilot_it2_rollingSliding_simple_ramp_box_2_dis_2_occ-redyellow_0009_img.png,"[3, 2, 2, 2]",2,75.00%,4
Roll,True_pilot_it2_rollingSliding_simple_collision_tdw_2_dis_2_occ-redyellow_0005_img.png,"[2, 2, 4, 3]",2,50.00%,4
