Scene_Type,Success_Case,Predictions,Most_Common_Prediction,Consistency_Ratio,Original_Correct_Index
Collide,True_pilot_it2_collision_non-sphere_box_1_dis_1_occ-redyellow_0006_img.png,"[2, 4, 4, 1]",4,50.00%,4
Collide,True_pilot_it2_collision_tiny_ball_box-redyellow_0004_img.png,"[4, 1, 4]",4,66.67%,4
Collide,True_pilot_it2_collision_simple_box_2_dis_2_occ-redyellow_0007_img.png,"[3, 3, 1, 4]",3,50.00%,4
Collide,True_pilot_it2_collision_tiny_ball_tdw_2_dis_2_occ-redyellow_0008_img.png,"[3, 1, 3, 2]",3,50.00%,4
Collide,True_pilot_it2_collision_simple_box_2_dis_2_occ-redyellow_0008_img.png,"[3, 2, 2, 3]",2,50.00%,4
Collide,True_pilot_it2_collision_tiny_ball_box_1_dis_1_occ-redyellow_0001_img.png,"[4, 4, 2, 2]",2,50.00%,4
Collide,True_pilot_it2_collision_non-sphere_tdw_1_dis_1_occ-redyellow_0009_img.png,"[1, 1, 2, 3]",1,50.00%,4
Collide,True_pilot_it2_collision_yeet_box_1_dis_1_occ-redyellow_0006_img.png,"[3, 2, 4, 1]",1,25.00%,4
Collide,True_pilot_it2_collision_assorted_targets_tdw_2_dis_2_occ-redyellow_0008_img.png,"[1, 1, 3, 1]",1,75.00%,4
Collide,True_pilot_it2_collision_assorted_targets_box_2_dis_2_occ-redyellow_0000_img.png,"[3, 2, 4, 1]",1,25.00%,4
Collide,True_pilot_it2_collision_assorted_targets_tdw_1_dis_1_occ-redyellow_0007_img.png,"[2, 4, 3, 4]",4,50.00%,4
Collide,True_pilot_it2_collision_yeet_box-redyellow_0005_img.png,"[4, 2, 3, 4]",4,50.00%,4
Collide,True_pilot_it2_collision_non-sphere_tdw_1_dis_1_occ-redyellow_0002_img.png,"[3, 1, 4, 2]",1,25.00%,4
Collide,True_pilot_it2_collision_yeet_box_1_dis_1_occ-redyellow_0008_img.png,"[2, 2, 4, 4]",2,50.00%,4
Collide,True_pilot_it2_collision_yeet_tdw_2_dis_2_occ-redyellow_0005_img.png,"[3, 4, 4, 1]",4,50.00%,4
Collide,True_pilot_it2_collision_assorted_targets_box_2_dis_2_occ-redyellow_0007_img.png,"[2, 4, 3, 4]",4,50.00%,4
Collide,True_pilot_it2_collision_tiny_ball_box_1_dis_1_occ-redyellow_0005_img.png,"[4, 3, 1, 1]",1,50.00%,4
Collide,True_pilot_it2_collision_tiny_ball_box_1_dis_1_occ-redyellow_0003_img.png,"[3, 2, 3, 3]",3,75.00%,4
Collide,True_pilot_it2_collision_non-sphere_box-redyellow_0006_img.png,"[4, 4, 4, 2]",4,75.00%,4
Collide,True_pilot_it2_collision_simple_box_1_dis_1_occ-redyellow_0006_img.png,"[1, 4, 1, 3]",1,50.00%,4
Collide,True_pilot_it2_collision_assorted_targets_box-redyellow_0001_img.png,"[2, 4, 3, 4]",4,50.00%,4
Collide,True_pilot_it2_collision_simple_tdw_2_dis_2_occ-redyellow_0003_img.png,"[4, 1, 1, 1]",1,75.00%,4
Collide,True_pilot_it2_collision_tiny_ball_box_1_dis_1_occ-redyellow_0000_img.png,"[1, 4, 2, 4]",4,50.00%,4
Collide,True_pilot_it2_collision_tiny_ball_box_2_dis_2_occ-redyellow_0007_img.png,"[4, 3, 4, 3]",3,50.00%,4
Collide,True_pilot_it2_collision_simple_box_1_dis_1_occ-redyellow_0005_img.png,"[4, 2, 3, 2]",2,50.00%,4
Collide,True_pilot_it2_collision_tiny_ball_box-redyellow_0000_img.png,"[2, 1, 1, 4]",1,50.00%,4
Collide,True_pilot_it2_collision_simple_box_1_dis_1_occ-redyellow_0001_img.png,"[3, 2, 4, 2]",2,50.00%,4
Collide,True_pilot_it2_collision_non-sphere_box_2_dis_2_occ-redyellow_0000_img.png,"[3, 2, 3, 4]",3,50.00%,4
Collide,True_pilot_it2_collision_yeet_box_1_dis_1_occ-redyellow_0009_img.png,"[3, 4, 4, 1]",4,50.00%,4
Collide,True_pilot_it2_collision_non-sphere_tdw_1_dis_1_occ-redyellow_0004_img.png,"[3, 3, 1, 4]",3,50.00%,4
Collide,True_pilot_it2_collision_tiny_ball_tdw_1_dis_1_occ-redyellow_0005_img.png,"[1, 4, 1, 1]",1,75.00%,4
Collide,True_pilot_it2_collision_tiny_ball_box-redyellow_0006_img.png,"[4, 4, 2, 1]",4,50.00%,4
Collide,True_pilot_it2_collision_assorted_targets_tdw_1_dis_1_occ-redyellow_0002_img.png,"[3, 4, 3, 2]",3,50.00%,4
Collide,True_pilot_it2_collision_simple_box_2_dis_2_occ-redyellow_0005_img.png,"[2, 2, 4, 4]",2,50.00%,4
Collide,True_pilot_it2_collision_assorted_targets_box_2_dis_2_occ-redyellow_0002_img.png,"[1, 4, 3, 1]",1,50.00%,4
Collide,True_pilot_it2_collision_tiny_ball_tdw_1_dis_1_occ-redyellow_0008_img.png,"[3, 4, 3, 3]",3,75.00%,4
Collide,True_pilot_it2_collision_yeet_box-redyellow_0000_img.png,"[2, 1, 1, 3]",1,50.00%,4
Collide,True_pilot_it2_collision_non-sphere_tdw_1_dis_1_occ-redyellow_0007_img.png,"[2, 2, 3, 4]",2,50.00%,4
Collide,True_pilot_it2_collision_tiny_ball_box_1_dis_1_occ-redyellow_0006_img.png,"[4, 2, 1, 3]",1,25.00%,4
Collide,True_pilot_it2_collision_non-sphere_box_2_dis_2_occ-redyellow_0009_img.png,"[1, 2, 2, 4]",2,50.00%,4
Collide,True_pilot_it2_collision_yeet_box_1_dis_1_occ-redyellow_0004_img.png,"[1, 1, 1, 1]",1,100.00%,4
Collide,True_pilot_it2_collision_tiny_ball_tdw_2_dis_2_occ-redyellow_0005_img.png,"[2, 1, 2, 3]",2,50.00%,4
Collide,True_pilot_it2_collision_simple_tdw_2_dis_2_occ-redyellow_0001_img.png,"[4, 1, 1, 2]",1,50.00%,4
Collide,True_pilot_it2_collision_tiny_ball_tdw_1_dis_1_occ-redyellow_0001_img.png,"[1, 1, 4, 2]",1,50.00%,4
Collide,True_pilot_it2_collision_non-sphere_box_1_dis_1_occ-redyellow_0005_img.png,"[1, 2, 2, 4]",2,50.00%,4
Collide,True_pilot_it2_collision_assorted_targets_box_2_dis_2_occ-redyellow_0004_img.png,"[3, 3, 1, 2]",3,50.00%,4
Collide,True_pilot_it2_collision_yeet_box-redyellow_0004_img.png,"[2, 4, 2, 4]",2,50.00%,4
Collide,True_pilot_it2_collision_non-sphere_box-redyellow_0008_img.png,"[4, 3, 3, 2]",3,50.00%,4
Collide,True_pilot_it2_collision_non-sphere_box-redyellow_0005_img.png,"[3, 1, 4, 3]",3,50.00%,4
Collide,True_pilot_it2_collision_assorted_targets_box-redyellow_0009_img.png,"[2, 2, 3, 3]",2,50.00%,4
Collide,True_pilot_it2_collision_yeet_tdw_2_dis_2_occ-redyellow_0003_img.png,"[1, 4, 4, 2]",4,50.00%,4
Collide,True_pilot_it2_collision_non-sphere_box_1_dis_1_occ-redyellow_0001_img.png,"[1, 3, 1, 4]",1,50.00%,4
Collide,True_pilot_it2_collision_simple_tdw_2_dis_2_occ-redyellow_0006_img.png,"[1, 2, 1, 1]",1,75.00%,4
Collide,True_pilot_it2_collision_assorted_targets_tdw_2_dis_2_occ-redyellow_0000_img.png,"[2, 3, 3, 4]",3,50.00%,4
Collide,True_pilot_it2_collision_assorted_targets_tdw_1_dis_1_occ-redyellow_0005_img.png,"[3, 2, 2, 1]",2,50.00%,4
Collide,True_pilot_it2_collision_yeet_box_1_dis_1_occ-redyellow_0002_img.png,"[1, 2, 3, 1]",1,50.00%,4
